Holder Name,PAN,EXP_DATE,Balance,State
Muhammad Wael,4696257125260841,07/26,10700.00,RUNNING
Ahmed Hassan,4971792938491890,08/29,46.78,RUNNING
Mohammed Imran,4502992987622043,09/30,567.89,RUNNING
Muhammad Asif,4818674881286310,10/28,678.90,RUNNING
Muhammad Amaar,5132250123117039,11/27,89.01,RUNNING
Muneeb Khan,4396801100472526,12/26,98.12,BLOCKED
Zain Ul Hassan,5184882592958811,02/23,111.92,BLOCKED
Waiz Khan,4871721539412725,01/28,234.56,RUNNING
Humza Khan,5182518938784733,03/29,0.67,RUNNING
Mohammed Ali,4632634477679470,04/26,456.78,RUNNING
Muhammad Awais,5122474721326642,05/27,567.89,RUNNING
Muhammad Ahmed,4323504542304822,06/25,123.45,BLOCKED
Muhammad Ali,5139442128466254,07/26,1345.34,RUNNING
Muhammad Waqar,4380199153592276,08/29,46.78,RUNNING
Muhammad Usman,4862805306469835,09/30,567.89,BLOCKED
